Epoch,Train Loss,Test Loss,Test Accuracy
1,1.5053273389101638,1.198959025607747,56.66
2,1.1129708462359045,1.054943629510843,62.78
3,0.9478841287553158,0.9073999801259132,67.96
4,0.8574426949710188,0.8019313071943392,72.17
5,0.7868378892197938,0.7066537255694152,75.32
6,0.734208514242221,0.7310807442968819,74.52
7,0.6954854805298778,0.7012238701817336,76.0
8,0.6583821532671409,0.6857054753667989,76.56
9,0.6321770785104893,0.6073268222960697,79.3
10,0.6068592756376852,0.6025591877995023,79.49
11,0.5840323341014745,0.6192088559934288,79.39
12,0.5623083339094201,0.5684374764466741,80.82
13,0.5453686991044323,0.5564576584822053,80.96
14,0.5344978269484951,0.6397947855056472,79.02
15,0.5186946114615711,0.5349090128757392,81.76
16,0.5077593361820711,0.5171684374095528,82.62
17,0.497789577945419,0.6123066193358914,79.84
18,0.48338685133268156,0.5188276152701894,82.75
19,0.4727076458580354,0.5142309153155916,82.39
20,0.4623636603736512,0.5020266225573363,83.06
21,0.45714222363498813,0.5372882071574023,82.17
22,0.4522723170459423,0.5416062074671885,82.41
23,0.44128948745443997,0.5356934296477373,82.54
24,0.4351088175040377,0.5196498067705495,82.44
25,0.43054881331789524,0.546254596133141,82.39
26,0.4220577915344397,0.5269093698566887,82.46
27,0.4174890087160003,0.5134602184318433,82.61
28,0.41090851482909047,0.5424728538769825,81.93
29,0.4061683161979746,0.4914072307811421,83.27
30,0.3967960184568639,0.4673474504120031,84.5
31,0.39102552421486286,0.47212430920190873,84.52
32,0.3882010106445121,0.47608324458265,84.22
33,0.381118019618799,0.4510545827400912,85.33
34,0.3820106684018279,0.45458854374232566,85.1
35,0.37435294460991153,0.48258656120983656,84.27
36,0.36649930739151243,0.4864661118407158,83.87
37,0.3641997071273644,0.49810756031115344,83.37
38,0.3639325912079543,0.5138486796503614,83.5
39,0.357120155697436,0.5046138140805967,83.98
40,0.3573075085497268,0.5211213541448496,83.2
41,0.3527603517560398,0.5046945616223251,83.92
42,0.3447544611990452,0.4806649738056645,84.69
43,0.34615797849605456,0.46524438062670886,85.02
44,0.33571940598547306,0.4542440524336639,85.75
45,0.3359692168929388,0.45500496955244407,84.96
46,0.33401572446117317,0.47619238714123985,84.89
47,0.33157795356095904,0.44513297099976024,85.27
48,0.33099797311836804,0.4752775872019446,84.93
49,0.32746974534124057,0.45509287952237826,85.07
50,0.3248984686687322,0.4367984742116017,85.84
51,0.3237069419316014,0.45100990678094754,85.3
52,0.3223495609448541,0.4575172148787292,85.52
53,0.3149553665229122,0.4516252552153199,85.39
54,0.30996482634483397,0.44816619727262264,85.89
55,0.30829978906704336,0.4363180508089673,85.88
56,0.30764833034571176,0.45714636507687295,85.17
57,0.3048346355138227,0.4459804255444153,85.98
58,0.3035375614033636,0.4576842788678066,85.79
59,0.304319201289769,0.46928857532656115,85.28
60,0.30279933981349705,0.5119801717009514,84.41
61,0.2971936301578341,0.45704058849602747,85.67
62,0.29772684781257147,0.4343602285738204,86.28
63,0.2890488418948163,0.472784147188542,85.2
64,0.2911482073290421,0.45904669630679357,85.6
65,0.2917753862755378,0.466874202298131,85.74
66,0.28814415861388,0.46324690507285915,85.85
67,0.2843427992118594,0.4748595148609702,85.62
68,0.2881352520926529,0.4669062522756066,85.56
69,0.28129901033838084,0.474762635246204,84.96
70,0.28075915433066273,0.45631172655114705,85.64
71,0.27976264734097456,0.46857380781583724,85.4
72,0.27730025982250794,0.4626850911955925,85.82
73,0.27522713412790345,0.4807598790165725,85.43
74,0.2754255404024173,0.47888486087322235,85.11
75,0.270189162639096,0.4703212668941279,85.55
76,0.27540750520499163,0.4635421996758242,85.51
77,0.26961949897353604,0.4952491259878608,84.76
78,0.2717867825237458,0.46067275496045496,85.55
79,0.2652667558768674,0.46963903222494063,85.58
80,0.26590700569512593,0.4495348404072652,86.3
81,0.2676359377420314,0.4763207401914202,85.82
82,0.2624228153654072,0.4519396298060751,85.85
83,0.2618010944169958,0.46317087507741467,86.04
84,0.257885654940439,0.4644505437107603,86.27
85,0.26002515105964125,0.48589311317083944,85.52
86,0.2565332028795691,0.48401112508052474,85.74
87,0.25284982078215656,0.4682581236313103,86.43
88,0.2532510932182412,0.4351450157867875,86.35
89,0.25491610935905856,0.46284540567048793,86.27
90,0.2502796412600428,0.48546671084347803,85.57
91,0.24941441909317166,0.4847914843707328,85.8
92,0.24997809244429364,0.4890171706107012,86.07
93,0.24895697905470038,0.5032723430235675,85.44
94,0.24369515898301625,0.458151303991011,86.48
95,0.2442571007791916,0.4420078340324627,86.85
96,0.24449174080396552,0.4783052110653015,85.27
97,0.2401788538879217,0.45085080499482005,86.41
98,0.24310607120604313,0.4529528786564708,86.64
99,0.24005671504341886,0.48859807991298143,85.69
100,0.24116131759074796,0.46296896439069396,86.16
