Epoch,Train Loss,Test Loss,Test Accuracy
1,1.7973328683992176,1.561562242021986,43.01
2,1.5660504887780875,1.4447512171071046,47.75
3,1.4809298524466317,1.3509430046294146,50.84
4,1.4151333471393341,1.3026565875217413,52.69
5,1.3710844365837018,1.2757881583681532,53.49
6,1.3365603081710504,1.2363177158270673,55.7
7,1.3005876083813055,1.197866840347363,57.21
8,1.267328277649477,1.2040820926617666,57.52
9,1.2503294181031035,1.1497983761653778,59.3
10,1.2265283642979838,1.149718860532068,59.82
11,1.2057700055791898,1.1143244261954242,59.97
12,1.1859455004982327,1.1092760798278127,60.85
13,1.1679754405832656,1.0958982242900095,61.72
14,1.1559459798781158,1.0809461614888185,61.46
15,1.1359413677774122,1.0611414374059933,62.19
16,1.12840926814872,1.0742155146446957,61.96
17,1.1128079114515153,1.0606511239033596,62.61
18,1.105157908881107,1.040370254000281,63.38
19,1.0924925356722244,1.0210644185163413,64.38
20,1.085269894212713,1.0258838485000998,63.55
21,1.0729551521103706,1.0182252283308917,64.3
22,1.0723678763107876,1.0234460864856745,64.17
23,1.0632640963320232,1.0096056711901524,64.62
24,1.0586284935626837,1.0238311841229724,64.03
25,1.0481951021782272,1.015517746566967,65.05
26,1.03993236309732,0.9986247556984045,65.11
27,1.0431286567617255,0.9711377704219454,66.13
28,1.0298739336335752,0.992375849538548,65.31
29,1.0277704782498158,0.985795231381799,65.22
30,1.0240873185265096,0.9738136317319931,65.67
31,1.0193369886301973,0.9777168783412618,65.41
32,1.0128727181793173,0.9595563491438605,66.47
33,1.0025635209229902,0.9569879219790173,66.54
34,0.998188802805703,0.9731924028912927,66.18
35,0.9973877210293889,0.9398853182792664,66.78
36,0.9999981488260772,0.9583719722024954,65.93
37,0.9863676164308777,0.960843583960442,66.41
38,0.9886618598800181,0.9498429947597965,66.48
39,0.9839205461389878,0.9400835788933335,67.16
40,0.9844934300845846,0.9615638468675552,66.14
41,0.9773263211750314,0.9217513412426991,68.01
42,0.971511634490679,0.9422061803993905,67.58
43,0.9645127141872025,0.9357867438322419,67.22
44,0.9649920413256301,0.9037917457568417,68.03
45,0.9551563595262025,0.9243681225807044,67.46
46,0.9567665162751132,0.9404155327256318,67.17
47,0.955937406443574,0.9462922249629999,67.22
48,0.9553216236174259,0.9256486289060799,67.5
49,0.9532182674731136,0.9112153440524059,67.85
50,0.9482753824852311,0.9368955849841901,67.5
51,0.9459907574879239,0.9315767250243266,67.52
52,0.9397787656015752,0.9147083037977766,67.87
53,0.9420897839471812,0.935573617364191,67.26
54,0.9412297648008522,0.9156380766516279,67.82
55,0.9332423944912298,0.9022604363739111,68.48
56,0.9283305329587453,0.9119220531670151,68.27
57,0.9314626461404669,0.9235208038311855,67.71
58,0.9315493384285656,0.9084225805701723,68.07
59,0.9269110969722728,0.9073002721853317,68.44
60,0.9203597605990632,0.9124611900870208,68.05
61,0.9222121619050155,0.9318895400709407,67.72
62,0.9184518882914272,0.8918581297443171,68.81
63,0.9171191568264876,0.877750474935884,69.46
64,0.9160940910086912,0.8913861137286873,69.09
65,0.9131258736028696,0.8822310733947025,69.3
66,0.911674372299248,0.9167081542835114,68.18
67,0.9118944610781072,0.8926127374551858,69.0
68,0.9121889635882414,0.8858173428827031,68.71
69,0.8987340490760096,0.8976798380256459,68.93
70,0.9033872375402914,0.8951494967102245,68.77
71,0.9012505478413818,0.8752191294530395,69.55
72,0.9015535924898084,0.8722954555681557,69.5
73,0.8953766327379914,0.8810849713671739,69.62
74,0.8952435502768172,0.9012461054097315,69.32
75,0.8942022022155239,0.8714985813304876,69.72
76,0.8993870888829536,0.9150521531226529,68.21
77,0.8946900109729499,0.878979798714826,69.41
78,0.8881991623765062,0.8669643030045139,70.16
79,0.8945903523879892,0.8674429757579877,69.75
80,0.8874708550512943,0.8733004711236164,70.0
81,0.8828530714792364,0.8858534746868595,69.5
82,0.8869184914909666,0.8636245325112798,69.65
83,0.873639611027125,0.8729407312763724,69.37
84,0.8790719982455758,0.9091184777059372,68.4
85,0.8824239689523302,0.8800047358889489,69.57
86,0.8746995636264382,0.8487988194082953,69.91
87,0.8777564460283045,0.8652195524258218,69.93
88,0.8771628355964676,0.8773829227040528,69.81
89,0.8754533206867745,0.8600275277332136,70.02
90,0.8752775677787069,0.8871878814545406,69.21
91,0.8723312513450222,0.8423353175448763,71.19
92,0.8731933123315386,0.8521048381070423,70.39
93,0.8734281433131689,0.8747556342440805,69.13
94,0.8630378183044131,0.8665334745577187,69.89
95,0.8660639898322732,0.8891506217847205,69.46
96,0.8743856813367981,0.8439684381150896,71.18
97,0.8691178819788691,0.859264755324953,69.91
98,0.8711332687941353,0.8509159418428021,70.23
99,0.8675076985145773,0.8656743673761939,69.93
100,0.8644774674683275,0.8480356882332237,70.81
