Epoch,Train Loss,Test Loss,Test Accuracy
1,1.8017400164738335,1.5464105158095147,43.63
2,1.5617874313498397,1.415117840858022,49.52
3,1.4704381681769096,1.3380049823955367,52.17
4,1.3991527409504747,1.2714286856590562,54.12
5,1.3389285170970975,1.2203393176103094,56.22
